measurement UID,file URL,msID,shelfmark,collection,part,part ID,part type,text,leaves,leaf height,leaf height max,leaf height min,leaf width,leaf width max,leaf width min,leaf depth,leaf depth max,leaf depth min,leaf unit,roll height,roll height max,roll height min,roll width,roll width max,roll width min,roll unit,fragment height,fragment height max,fragment height min,fragment width,fragment width max,fragment width min,fragment unit,columns,columns max,columns min,column height,column height max,column height min,column width,column width max,column width min,column unit,writtenLines,writtenLines max,writtenLines min,written height,written height max,written height min,written width,written width max,written width min,written unit,ruledLines,rulesLines max,ruledLines min,ruled height,ruled height max,ruled height min,ruled width,ruled width max,ruled width min,ruled unit,rulingMedium,topLine
MS_Bodl_83_measure_1,manuscript_1819,MS_Bodl_83,MS. Bodl. 83,Bodl,,MS_Bodl_83,,22 lines,,185,185,185,135,135,135,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_831_measure_1,manuscript_1821,MS_Bodl_831,MS. Bodl. 831,Bodl,,MS_Bodl_831,,"1 col., 33–36 lines, written space 147–60 110–12",,222,222,222,155,155,155,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_833_measure_1,manuscript_1823,MS_Bodl_833,MS. Bodl. 833,Bodl,,MS_Bodl_833,,iv + 124 leaves 9.625 7.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_834_measure_1,manuscript_1824,MS_Bodl_834,MS. Bodl. 834,Bodl,,MS_Bodl_834,,iii + 76 leaves 8.625 8.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_835_measure_1,manuscript_1825,MS_Bodl_835,MS. Bodl. 835,Bodl,,MS_Bodl_835,,ii + 81 leaves 9.5 6.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_838_measure_1,manuscript_1827,MS_Bodl_838,MS. Bodl. 838,Bodl,,MS_Bodl_838,,"2 cols, as far as fol. 147",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_839_measure_1,manuscript_1828,MS_Bodl_839,MS. Bodl. 839,Bodl,,MS_Bodl_839,,i + 167 leaves 9.5 6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_84_measure_1,manuscript_1829,MS_Bodl_84,MS. Bodl. 84,Bodl,,MS_Bodl_84,,v + 173 leaves 7.875 5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_840_measure_1,manuscript_1830,MS_Bodl_840,MS. Bodl. 840,Bodl,,MS_Bodl_840,,i + 166 leaves 10.25 7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_841_measure_1,manuscript_1831,MS_Bodl_841,MS. Bodl. 841,Bodl,,MS_Bodl_841,,i + 89 leaves 9.7 6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_844_measure_1,manuscript_1834,MS_Bodl_844,MS. Bodl. 844,Bodl,,MS_Bodl_844,,iii + 233 leaves 9 6.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_845_measure_1,manuscript_1835,MS_Bodl_845,MS. Bodl. 845,Bodl,,MS_Bodl_845,,ii + 38 leaves 9.125 5.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_846_measure_1,manuscript_1836,MS_Bodl_846,MS. Bodl. 846,Bodl,,MS_Bodl_846,,iv + 61 leaves 9.375 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_847_measure_1,manuscript_1837,MS_Bodl_847,MS. Bodl. 847,Bodl,,MS_Bodl_847,,2 cols,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_849_measure_1,manuscript_1839,MS_Bodl_849,MS. Bodl. 849,Bodl,,MS_Bodl_849,,"1 col., 19 lines, written space 140–5 92–8",,212,212,212,148,148,148,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_85_measure_1,manuscript_1840,MS_Bodl_85,MS. Bodl. 85,Bodl,,MS_Bodl_85,,v + 124 leaves 7.5 5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_850_measure_1,manuscript_1841,MS_Bodl_850,MS. Bodl. 850,Bodl,,MS_Bodl_850,,2 col. of 22 lines,,205,205,205,150,150,150,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,140,140,100,100,100,mm,,,,,,,,,,,,
MS_Bodl_851_measure_13,manuscript_1842,MS_Bodl_851,MS. Bodl. 851,Bodl,,,,2 cols.; column width c. mm.65,,,,,,,,,,,,,,,,,,,250,250,250,175,175,175,mm,,,,250,250,250,175,175,175,mm,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_851_measure_6,manuscript_1842,MS_Bodl_851,MS. Bodl. 851,Bodl,,MS_Bodl_851-partI,,"Fols. 75va-76rb: frame-ruled with a hard point (?), 2 cols., c. 43-47 lines.",,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,43 47,47,43,,,,,,,,,,,,,,,,,,,
MS_Bodl_851_measure_7,manuscript_1842,MS_Bodl_851,MS. Bodl. 851,Bodl,,MS_Bodl_851-PartII,,Ruled in faint plummet for 2 cols. of usually 40-1 lines (scribe 4). Ruled space c. 190 145,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,40 41,41,40,,,,,,,,,,,190,190,190,145,145,145,mm,,
MS_Bodl_851_measure_5,manuscript_1842,MS_Bodl_851,MS. Bodl. 851,Bodl,,MS_Bodl_851-partI,,"Fols. 74va-75rb: ruled in plummet for 2 cols., 39 lines.",,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,39,39,39,,,,,,,,,,,,,,,,,,,
MS_Bodl_851_measure_2,manuscript_1842,MS_Bodl_851,MS. Bodl. 851,Bodl,,,,"Layout and written space vary; fol. 5r-v in 2 cols. of c. 53 lines, frame-ruled, 200 145",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,200,200,145,145,145,mm,,
MS_Bodl_851_measure_1,manuscript_1842,MS_Bodl_851,MS. Bodl. 851,Bodl,,MS_Bodl_851,,207 (6 + 71 + 46 + 16 + 68) + 2 leaves Quire 14 slightly smaller than the rest of the volume. 245-250 175-180,,245-250,250,245,175-180,180,175,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_851_measure_12,manuscript_1842,MS_Bodl_851,MS. Bodl. 851,Bodl,,MS_Bodl_851-partIV,,Frame-ruled in plummet or crayon; ruled space Pricking: not visible. Single column of c. 30-34 lines.180-190 125-130,,250,250,250,180,180,180,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_851_measure_9,manuscript_1842,MS_Bodl_851,MS. Bodl. 851,Bodl,,MS_Bodl_851-PartII,,"Fols. 120vb-123rb: partly ruled in plummet, partly frame-ruled in plummet, for 2 cols., c. 43-56 lines; ruled space c. .200 145",,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,43 56,56,43,,,,,,,,,,,200,200,200,145,145,145,mm,,
MS_Bodl_851_measure_8,manuscript_1842,MS_Bodl_851,MS. Bodl. 851,Bodl,,MS_Bodl_851-PartII,,"Fols 116r-120v: ruled in plummet for 2 cols., 50-4 lines; writing sometimes above top line; ruled space 195-200 145",,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,50 54,54,50,,,,,,,,,,,195-200,200,195,145,145,145,mm,,
MS_Bodl_851_measure_3,manuscript_1842,MS_Bodl_851,MS. Bodl. 851,Bodl,,MS_Bodl_851-partI,,Pricking visible. Fols. 7r-73v ruled in plummet for 2 cols. of 40-41 lines. Ruled space 190-5 135,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,41,41,41,,,,,,,,,,,190-5,195,190,135,135,135,mm,,
MS_Bodl_851_measure_4,manuscript_1842,MS_Bodl_851,MS. Bodl. 851,Bodl,,MS_Bodl_851-partI,,Fols. 74ra-va frame-ruled in plummet for two columns of 49 lines.,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,49,49,49,,,,,,,,,,,,,,,,,,,
MS_Bodl_851_measure_11,manuscript_1842,MS_Bodl_851,MS. Bodl. 851,Bodl,,MS_Bodl_851-partIII,,Fifteenth-century additions: frame-ruled (verticals only) with a hard point. Writing space: c. 190 135,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,50,50,50,190,190,190,135,135,135,mm,,,,,,,,,,,,
MS_Bodl_851_measure_10,manuscript_1842,MS_Bodl_851,MS. Bodl. 851,Bodl,,MS_Bodl_851-partIII,,Pricking not visible. Ruled space Single columns with 50 lines. Ruled in plummet.190 125,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,50,50,50,,,,,,,,,,,190,190,190,125,125,125,mm,,
MS_Bodl_852_measure_1,manuscript_1843,MS_Bodl_852,MS. Bodl. 852,Bodl,,MS_Bodl_852,,v + 84 folios 8.875 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_852_measure_2,manuscript_1843,MS_Bodl_852,MS. Bodl. 852,Bodl,,MS_Bodl_852-part1,,"1 col., 27 lines, written space 155–60 100",,215,215,215,140,140,140,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_853_measure_1,manuscript_1844,MS_Bodl_853,MS. Bodl. 853,Bodl,,MS_Bodl_853,,2 cols,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_854_measure_1,manuscript_1845,MS_Bodl_854,MS. Bodl. 854,Bodl,,MS_Bodl_854,,16-19 long lines,235,200,200,200,133,133,133,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,120,120,85,85,85,mm,,,,,,,,,,,,
MS_Bodl_858_measure_1,manuscript_1848,MS_Bodl_858,MS. Bodl. 858,Bodl,,MS_Bodl_858,,2 cols,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_859_measure_1,manuscript_1849,MS_Bodl_859,MS. Bodl. 859,Bodl,,MS_Bodl_859,,iv + 391 fols. 12.125 9.5,,12.125,12.125,12.125,9.5,9.5,9.5,,,,inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_859_measure_2,manuscript_1849,MS_Bodl_859,MS. Bodl. 859,Bodl,,MS_Bodl_859-part2,,"1 col., c. 40–55 lines, written space c. 220–35 145–60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,300,300,220,220,220,mm,,,,,,,,,,,,
MS_Bodl_86_measure_1,manuscript_1850,MS_Bodl_86,MS. Bodl. 86,Bodl,,MS_Bodl_86,,i + 179 leaves 10.75 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_860_measure_3,manuscript_1851,MS_Bodl_860,MS. Bodl. 860,Bodl,,MS_Bodl_860-part2,,Ruled in pencil; frame and individual lines pricked on all sides of page. Line spacing 4–4.5 mm.190 137–41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_860_measure_4,manuscript_1851,MS_Bodl_860,MS. Bodl. 860,Bodl,,MS_Bodl_860-part2,,Gathering 11 (fols. 86 to 93) is written with tighter line spacing (2.5-3.5 mm). 190–92 141–44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_860_measure_2,manuscript_1851,MS_Bodl_860,MS. Bodl. 860,Bodl,,MS_Bodl_860-part1,,"One verse written per line, leaving extra space, with script 7 mm tall and line spacing 9–10 mm. Glosses written in margin. Text written above top line.223–28 104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_860_measure_1,manuscript_1851,MS_Bodl_860,MS. Bodl. 860,Bodl,,MS_Bodl_860,,i + 208 + i leaves 270 194–200,,270,270,270,194–200,200,194,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_860_measure_5,manuscript_1851,MS_Bodl_860,MS. Bodl. 860,Bodl,,MS_Bodl_860-part3,,"Verses and prose commentary written together, line spacing 4.5 mm, with two lines allowed for verses, which are written in a larger script. Commentary placed above the verses to which it applies; a line is drawn to link specific words. Ruled in pencil, with pricking on all sides of the page to define both frame and individual lines. 203 105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_860_measure_6,manuscript_1851,MS_Bodl_860,MS. Bodl. 860,Bodl,,MS_Bodl_860-part3,,"Verses only within the ruled area, written at the same size as the previous section, but one per line, spaced 9 mm apart. Glosses written in the margin, as the Psalm 1 versification in the first part of the manuscript. Additional verses also added in the margin at several points. Ruled in pencil, with pricking on all sides of the page to define both frame and individual lines (often trimmed on the fore-edge). 208 87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_861_measure_1,manuscript_1852,MS_Bodl_861,MS. Bodl. 861,Bodl,,MS_Bodl_861,,"2 cols., 53–76 lines, written space 215–25 70",,290,290,290,215,215,215,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_862_measure_1,manuscript_1853,MS_Bodl_862,MS. Bodl. 862,Bodl,,MS_Bodl_862,,"3 cols., column space c. 150 190",,288,288,288,195,195,195,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_867_measure_1,manuscript_1858,MS_Bodl_867,MS. Bodl. 867,Bodl,,MS_Bodl_867,,iv + 307 leaves 10.5 7.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_868_measure_1,manuscript_1859,MS_Bodl_868,MS. Bodl. 868,Bodl,,MS_Bodl_868,,2 cols,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_869_measure_1,manuscript_1860,MS_Bodl_869,MS. Bodl. 869,Bodl,,MS_Bodl_869,,2 cols,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_87_measure_1,manuscript_1861,MS_Bodl_87,MS. Bodl. 87,Bodl,,MS_Bodl_87,,ii + 187 leaves 8.875 6.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_870_measure_1,manuscript_1862,MS_Bodl_870,MS. Bodl. 870,Bodl,,MS_Bodl_870,,i + 123 leaves 11.25 7.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_874_measure_1,manuscript_1864,MS_Bodl_874,MS. Bodl. 874,Bodl,,MS_Bodl_874,,iv + 100 pages 11.125 7.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_875_measure_1,manuscript_1865,MS_Bodl_875,MS. Bodl. 875,Bodl,,MS_Bodl_875,,v + 21 leaves 12.25 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_877_measure_1,manuscript_1866,MS_Bodl_877,MS. Bodl. 877,Bodl,,MS_Bodl_877,,2 cols,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_879_measure_1,manuscript_1867,MS_Bodl_879,MS. Bodl. 879,Bodl,,MS_Bodl_879,,ii + 34 leaves 12 8.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_883_measure_1,manuscript_1870,MS_Bodl_883,MS. Bodl. 883,Bodl,,MS_Bodl_883,,ii + 80 leaves 10.75 7.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_89_measure_1,manuscript_1871,MS_Bodl_89,MS. Bodl. 89,Bodl,,MS_Bodl_89,,ii + 50 leaves 8.125 5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_897_measure_1,manuscript_1872,MS_Bodl_897,MS. Bodl. 897,Bodl,,MS_Bodl_897,,2 cols,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_9_measure_1,manuscript_1873,MS_Bodl_9,MS. Bodl. 9,Bodl,,MS_Bodl_9,,ii + 124 leaves 6.125 4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_90_measure_1,manuscript_1874,MS_Bodl_90,MS. Bodl. 90,Bodl,,MS_Bodl_90,,ii + 109 leaves 9 5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_901_measure_1,manuscript_1875,MS_Bodl_901,MS. Bodl. 901,Bodl,,MS_Bodl_901,,i + 66 leaves 12.75 9.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_902_measure_1,manuscript_1876,MS_Bodl_902,MS. Bodl. 902,Bodl,,MS_Bodl_902,,2 cols,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_91_measure_2,manuscript_1877,MS_Bodl_91,MS. Bodl. 91,Bodl,,MS_Bodl_91-part4,,"2 cols., c. 37 lines, column space 140–5 80–5",,200,200,200,140,140,140,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_91_measure_1,manuscript_1877,MS_Bodl_91,MS. Bodl. 91,Bodl,,MS_Bodl_91,,v + 147 leaves 8.5 6.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_916_measure_1,manuscript_1880,MS_Bodl_916,MS. Bodl. 916,Bodl,,MS_Bodl_916,,"Originally, the first five folios of each gathering had quire 'signatures' at the extreme bottom right-hand corner, e.g. 'aj', 'aij', 'aiij', 'aiiij', 'av', 'bj', etc. In many cases, the whole or part of this 'signature' was cut off when the margins were cropped. With the second part, a new set of 'signatures' begins (Hitchcock, The Donet, EETS 156 (Oxford, 1921), p. xii)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_917_measure_1,manuscript_1881,MS_Bodl_917,MS. Bodl. 917,Bodl,,MS_Bodl_917,,"1 col., 20 lines, written space 165–70 110",,245,245,245,190,190,190,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_92_measure_1,manuscript_1883,MS_Bodl_92,MS. Bodl. 92,Bodl,,MS_Bodl_92,,iii + 113 leaves 9.875 6.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_920_measure_1,manuscript_1884,MS_Bodl_920,MS. Bodl. 920,Bodl,,MS_Bodl_920,,"1 col., lines and written space vary.",,247,247,247,165,165,165,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_921_measure_1,manuscript_1885,MS_Bodl_921,MS. Bodl. 921,Bodl,,MS_Bodl_921,,ii + 101 leaves 10 6.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_924_measure_1,manuscript_1887,MS_Bodl_924,MS. Bodl. 924,Bodl,,MS_Bodl_924,,x + 628 pages 10 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_93_measure_1,manuscript_1888,MS_Bodl_93,MS. Bodl. 93,Bodl,,MS_Bodl_93,,vi + 117 leaves 9.625 7.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_94_measure_1,manuscript_1892,MS_Bodl_94,MS. Bodl. 94,Bodl,,MS_Bodl_94,,ii + 168 leaves 10.375 6.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_940_measure_1,manuscript_1893,MS_Bodl_940,MS. Bodl. 940,Bodl,,MS_Bodl_940,,"1 col., 27 lines, written space 140 75",,187,187,187,120,120,120,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_941_measure_1,manuscript_1894,MS_Bodl_941,MS. Bodl. 941,Bodl,,MS_Bodl_941,,i + 307 leaves 8.5 6.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_948_measure_1,manuscript_1897,MS_Bodl_948,MS. Bodl. 948,Bodl,,MS_Bodl_948,,2 cols,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_95_measure_1,manuscript_1898,MS_Bodl_95,MS. Bodl. 95,Bodl,,MS_Bodl_95,,i + 115 leaves 8.625 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_951_measure_1,manuscript_1899,MS_Bodl_951,MS. Bodl. 951,Bodl,,MS_Bodl_951,,2 cols.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_958_measure_1,manuscript_1903,MS_Bodl_958,MS. Bodl. 958,Bodl,,MS_Bodl_958,,ii + 229 leaves 14 9.75,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_959_measure_1,manuscript_1904,MS_Bodl_959,MS. Bodl. 959,Bodl,,MS_Bodl_959,,ruled for two columns with single vertical and horizontal bounding lines extending the full height and width of page; 52–62 lines per page; written space: c. 210–230 150–160,,330,330,330,230,230,230,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_96_measure_1,manuscript_1905,MS_Bodl_96,MS. Bodl. 96,Bodl,,MS_Bodl_96,,2 cols.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_97_measure_1,manuscript_1910,MS_Bodl_97,MS. Bodl. 97,Bodl,,MS_Bodl_97,,iv + 77 leaves 8.5 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_972_measure_1,manuscript_1912,MS_Bodl_972,MS. Bodl. 972,Bodl,,MS_Bodl_972,,"1 col., c. 29–34 lines.",,276,276,276,195,195,195,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,190–5,195,190,120–5,125,120,mm,,,,,,,,,,,,
MS_Bodl_976_measure_1,manuscript_1914,MS_Bodl_976,MS. Bodl. 976,Bodl,,MS_Bodl_976,,425 leaves 6.625 5.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_978_measure_1,manuscript_1916,MS_Bodl_978,MS. Bodl. 978,Bodl,,MS_Bodl_978,,ruled in ink for a single column with single vertical and double horizontal bounding lines extending the full height and width of page; 24 lines per page; prickings survive; written space: c. 103 65,,128,128,128,95,95,95,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_979_measure_1,manuscript_1917,MS_Bodl_979,MS. Bodl. 979,Bodl,,MS_Bodl_979,,ruled in ink for two columns with single vertical and double horizontal bounding lines extending the full height and width of page; 32 lines per page; written space: c. 100 60,,132,132,132,87,87,87,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_98_measure_1,manuscript_1918,MS_Bodl_98,MS. Bodl. 98,Bodl,,MS_Bodl_98,,2 cols.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_980_measure_1,manuscript_1919,MS_Bodl_980,MS. Bodl. 980,Bodl,,MS_Bodl_980,,193 leaves 5.375 4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_985_measure_1,manuscript_1920,MS_Bodl_985,MS. Bodl. 985,Bodl,,MS_Bodl_985,,iii + 222 leaves 4.875 3.5,,4.875,4.875,4.875,3.5,3.5,3.5,,,,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_989_measure_1,manuscript_1923,MS_Bodl_989,MS. Bodl. 989,Bodl,,MS_Bodl_989,,165 leaves 5.625 4.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_99_measure_1,manuscript_1924,MS_Bodl_99,MS. Bodl. 99,Bodl,,MS_Bodl_99,,i + 120 leaves 8.25 5.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Bodl_Rolls_1_measure_1,manuscript_1928,MS_Bodl_Rolls_1,MS. Bodl. Rolls 1,Bodl rolls,,MS_Bodl_Rolls_1,,9 membranes 104.5 23.5,,,,,,,,,,,,104.5,104.5,104.5,23.5,23.5,23.5,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
