metadata: deco UID,metadata: file URL,metadata: collection,metadata: ms ID,metadata: shelfmark,metadata: ms type,metadata: part name,metadata: part ID,overview: decoration,overview: description,overview: type,locus: locus,locus: from,locus: to,date: date,date: when,date: not before,date: not after,date: certainty,date: calendar,people: scribe name(s),people: scribe ID(s),people: signer name(s),people: signer ID(s),people: artist name(s),people: artist ID(s),people: patron name(s),people: patron ID(s),people: dedicatee name(s),people: dedicatee ID(s),people: former owner name(s),people: former owner ID(s),people: donor name(s),people: donor ID(s),people: other name(s),people: other ID(s),orgs: name(s),orgs: ID(s),places: name(s),places: ID(s),bibliography: bibl(s),bibliography: ref(s),bibliography: ref URI(s)
_deco_1,manuscript_1,,,,part,,,,"Twelve full-page suffrage miniatures, framed and on tooled gold or diapered pink and blue ground, in pairs at alternating openings before the Calendar. Their style is associated with the Queen Mary Psalter workshop ( ). The same artist worked on a Psalter made for a patron in the Norwich diocese, which later passed to Peterborough Abbey (London, British Library, Royal MS 2.B.vii ). Cambridge, Corpus Christi College, MS 53 1v: woman (perhaps intended to represent the commissioner or an early owner of the manuscript) kneeling in veneration before a sainted archbishop. The archbishop (?St Thomas, ?St Edmund) was altered from being a bishop (perhaps originally St Hugh, as in the Calendar) by the substitution of a cross for a crozier and the addition of a pallium. The arms of the Reymes family also appear to have been added to the woman's mantle. 2r: St Catherine and St Margaret 3v: St George 4r: St Christopher 5v: Annunciation 6r: Nativity 7v: Resurrection 8r: Ascension 9v: Coronation of Virgin 10r: Christ in Majesty, with Evangelists' symbols 11v: Virgin and Child 12r: Crucifixion London, British Library, Royal MS 2.B.vii Cambridge, Corpus Christi College, MS 53 1v: woman (perhaps intended to represent the commissioner or an early owner of the manuscript) kneeling in veneration before a sainted archbishop. The archbishop (?St Thomas, ?St Edmund) was altered from being a bishop (perhaps originally St Hugh, as in the Calendar) by the substitution of a cross for a crozier and the addition of a pallium. The arms of the Reymes family also appear to have been added to the woman's mantle. 2r: St Catherine and St MargaretSt CatherineSt Margaret 3v: St GeorgeSt George 4r: St Christopher St Christopher 5v: Annunciation Annunciation 6r: NativityNativity 7v: ResurrectionResurrection 8r: AscensionAscension 9v: Coronation of VirginCoronation of Virgin 10r: Christ in Majesty, with Evangelists' symbolsChrist in Majesty, with Evangelists' symbols 11v: Virgin and Child Virgin and Child 12r: Crucifixion Crucifixion",miniature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"London, British Library, Royal MS 2.B.vii; Cambridge, Corpus Christi College, MS 53","London, British Library, Royal MS 2.B.vii; Cambridge, Corpus Christi College, MS 53",http://searcharchives.bl.uk/IAMS_VU2:LSCOP_BL:IAMS040-002105818 https://parker.stanford.edu/parker/catalog/gs233db8425
_deco_1,manuscript_1,,,"Cambridge, University Library, MS Ee.2.29",part,,,,Two-line initials in blue or red ink.,colinit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_deco_1,manuscript_1,,,"Cambridge, University Library, MS Dd.5.76",part,,,,One large (3-line) initial in red ink on f. 3v.,colInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_deco_1,manuscript_1,,,,part,,,,"Four-line initial in red, with infill and marginal flourishing drawn in brown ink (f. 2:1r).",flourInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_deco_1,manuscript_1,,,,manuscript,,MS-II-00006-00032,,"Four figures, lower two with satchels, arranged around cross with star/flower in circle at intersection ()",miniature,1v,1v,1v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_deco_1,manuscript_1,,,,manuscript,,MS-ADD-03021,,"Two-line, and occasionally three-, four-, or five-line, plain initials, alternating in red or blue (occasionally in two colours) (with some use of green in Parts 8 and 9), sometimes with simple internal void decoration. Versions executed in imitation where further documents have been added to the contents at a later date, or gaps left for initials to be completed later.",initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_deco_1,manuscript_1,,,,part,,,,"Plain initials in brown ink, at the opening of some of the documents on f. 1:ii recto.",plainInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_deco_1,manuscript_1,,,,manuscript,,MS-ADD-03020,,"12-line geometric or puzzle initial in red and blue, with infill and marginal pen flourishing in red and blue ink, with zoomorphic beasts, vine leaves and looped foliage within the initial, at the beginning of the first charter (f. 12r).",flourInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_deco_1,manuscript_1,,,,part,,,,"3r: six-line initial in green, with red and green infill and flourishing. 61v: eight-line initial in brown ink, with internal void decoration and flourishing.",flourInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_deco_1,manuscript_1,,,,manuscript,,MS-DD-00013-00027,,"Each piece begins with an elaborate large gold initial decorated with red pen work. The initial A to the first piece, on folio 1r has coloured foliate decoration with penwork extending into the upper and left margins of the page.",initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_deco_1,manuscript_1,,,"Cambridge, University Library, MS Add. 9309",manuscript,,MS-ADD-09309,,1 large (5-line) initial in brown ink decorated with cadels and a fish on f. 8v.,cadel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_deco_1,manuscript_1,,,"Cambridge, University Library, MS Ee.3.59",manuscript,,MS-EE-00003-00059,,": Kings Alfred, Edgar, and Ethelred II, enthroned, with two angels.",miniature,3v,3v,3v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_deco_1,manuscript_1,,,,manuscript,,MS-KK-00001-00024,,"Plain initials, in the same ink as the text, outlined by dots of red. At chapter divisions, these occupy the blank space above and below the written line (e.g. ff. 131v, 169v, 174r, 177r, 179r) . At verse divisions, they are slightly larger than the written line.",plainInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_deco_1,manuscript_1,,,"Cambridge, University Library, MS Ff.5.5",manuscript,,MS-FF-00005-00005,,"On f. 8r is a large (10-line) blue and pink initial on a gold ground and with partial (3-sided) bar borders with acanthus leaves in gold, blue, purple, and white. Inside the intial is a miniature of King Richard II, seated, with crown and sceptre.",histInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_deco_1,manuscript_1,,,"Cambridge, University Library, MS Gg.4.6",manuscript,,MS-GG-00004-00006,,"The decoration has been identified as the work of a single artist, (see Rouse and Rouse (2000), vol. 2, p. 203). Richard de Montbaston (fl. 1325-1353)Richard de Montbaston",,,,,,,,,,,,,,,,,,,,,,,,,Richard de Montbaston (fl. 1325-1353); Richard de Montbaston,,,,,,,,
_deco_1,manuscript_1,,,"Cambridge, University Library, MS Kk.6.33",part,,,,Two small capitals highlighted in red ink on f. ii recto.,plainInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_deco_1,manuscript_1,,,,manuscript,,MS-LL-00005-00018,,"No illumination, illustration or rubrication occurs in MS Ll.5.18. Larger, more decorative handwriting with otiose strokes and additional flourishes is adopted for the titles of the two saints’ lives ( and ) and far more significantly in the case of the Lydgate. The scribe also shows a greater preponderance for otiose strokes in the verse. Underlining of occasional passages throughout.",,f. 25r; f. 29v,25r 29v,25r 29v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_deco_1,manuscript_1,,,,part,,,,"Part I (pages 1-40): B initials (15 lines) with foliage infill in similar palette (light blue, green and orange), but by different artists, one initial on burnished gold ground on page 3, the other of powdered gold on page 21.",initial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_deco_1,manuscript_1,,,"Cambridge, University Library, MS Dd.12.23",manuscript,,MS-DD-00012-00023,,"Plain red initials (ff. 6r, 7v, 15r, 25r, 26v, 53v, 65v, 67v), in one instance ornamented with red-brown infill and marginal flourishing (f. 26v).",decInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_deco_1,manuscript_1,,,"Cambridge, University Library, MS Mm.6.17",part,,,,"Two-line red initials, in Quires 2 and 17 only.",colInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
