metadata: music UID,metadata: file URL,metadata: collection,metadata: ms ID,metadata: shelfmark,metadata: ms type,metadata: part name,metadata: part ID,overview: music,locus: locus,locus: from,locus: to,dimensions: type,dimensions: height,dimensions: max height,dimensions: min height,dimensions: width,dimensions: max width,dimensions: min width,dimensions: unit,people: name(s),people: ID(s),bibliography: title(s),bibliography: ref(s),bibliography: ref URI(s)
_music_1,manuscript_1,,,,manuscript,,MS-DD-00005-00078-003,French tablature on 6-line staves copied by Mathew Holmes.,,,,,,,,,,,,,,,,
_music_1,manuscript_1,,,,manuscript,,MS-DD-00002-00011,French tablature on 6-line staves copied by Mathew Holmes.,,,,,,,,,,,,,,,,
_music_1,manuscript_1,,,,manuscript,,MS-DD-00009-00033,French tablature on 6-line staves copied by Mathew Holmes.,,,,,,,,,,,,,,,,
_music_1,manuscript_1,,,,manuscript,,MS-NN-00006-00036,French tablature on 6-line staves copied by Mathew Holmes.,,,,,,,,,,,,,,,,
_music_1,manuscript_11845,,,"Cambridge, Emmanuel College, MS 109",manuscript,,MS-EMMANUEL-COLLEGE-00109,f. [132]v Middle-Byzantine melodic notation,f. [132]v,[132]v,[132]v,,,,,,,,,,,,,
_music_1,manuscript_12190,,,"Cambridge, University Library, MS Gg.1.2",part,,,"ff. 16v-18v, 20v Middle-byzantine melodic notation","ff. 16v-18v, 20v",16v,18v,,,,,,,,,,,,,
