metadata: measurement UID,metadata: file URL,metadata: collection,metadata: ms ID,metadata: shelfmark,metadata: part,metadata: part ID,metadata: part type,rolls: height,rolls: height max,rolls: height min,rolls: width,rolls: width max,rolls: width min,rolls: unit,fragments: height,fragments: height max,fragments: height min,fragments: width,fragments: width max,fragments: width min,fragments: unit,leaves: n,leaves: height,leaves: height max,leaves: height min,leaves: width,leaves: width max,leaves: width min,leaves: depth,leaves: depth max,leaves: depth min,leaves: unit,columns: n,columns: n max,columns: n min,columns: height,columns: height max,columns: height min,columns: width,columns: width max,columns: width min,columns: unit,written area: n,written area: n max,written area: n min,written area: height,written area: height max,written area: height min,written area: width,written area: width max,written area: width min,written area: unit,ruling: n,ruling: n max,ruling: n min,ruling: height,ruling: height max,ruling: height min,ruling: width,ruling: width max,ruling: width min,ruling: unit,ruling: medium,ruling: top line
MS_Add_A_197_measure_1,manuscript_37,Add_A,MS_Add_A_197,MS. Add. A. 197,,MS_Add_A_197,,,,,,,,,,,,,,,,,240.0,240.0,240.0,163.0,163.0,163.0,,,,mm,,,,,,,,,,,,,,c. 170–88,188.0,170.0,110–15,115.0,110.0,mm,,,,,,,,,,,,
MS_Add_A_2_measure_1,manuscript_39,Add_A,MS_Add_A_2,MS. Add. A. 2,,MS_Add_A_2,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_23_measure_1,manuscript_44,Add_A,MS_Add_A_23,MS. Add. A. 23,,MS_Add_A_23,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_26_measure_1,manuscript_46,Add_A,MS_Add_A_26,MS. Add. A. 26,,MS_Add_A_26,,,,,,,,,,,,,,,,,215.0,215.0,215.0,155.0,155.0,155.0,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_263_measure_1,manuscript_47,Add_A,MS_Add_A_263,MS. Add. A. 263,,MS_Add_A_263,,,,,,,,,,,,,,,,,240–5,245.0,240.0,170–5,175.0,170.0,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_263_measure_2,manuscript_47,Add_A,MS_Add_A_263,MS. Add. A. 263,MS. Add. A. 263 – Part A (fols. 1–48),MS_Add_A_263-part1,,,,,,,,,,,,,,,,,,,,,,,,,,,1 2,2.0,1.0,,,,,,,,34.0,34.0,34.0,,,,,,,,,,,190.0,190.0,190.0,120–5,125.0,120.0,mm,ink,
MS_Add_A_263_measure_3,manuscript_47,Add_A,MS_Add_A_263,MS. Add. A. 263,MS. Add. A. 263 – Part B (fols. 49–64),MS_Add_A_263-part2,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,25.0,25.0,25.0,,,,,,,,,,,175.0,175.0,175.0,110–5,115.0,110.0,mm,ink,below
MS_Add_A_263_measure_4,manuscript_47,Add_A,MS_Add_A_263,MS. Add. A. 263,MS. Add. A. 263 – Part B (fols. 49–64),MS_Add_A_263-part2,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,,26 28,28.0,26.0,,,,,,,,,,,,,,,,,,,below
MS_Add_A_263_measure_5,manuscript_47,Add_A,MS_Add_A_263,MS. Add. A. 263,MS. Add. A. 263 – Part B (fols. 49–64),MS_Add_A_263-part2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,above
MS_Add_A_263_measure_6,manuscript_47,Add_A,MS_Add_A_263,MS. Add. A. 263,,MS_Add_A_263-endleaves-4,fragment,,,,,,,,c. 103,c. 103,c. 103,103.0,103.0,103.0,mm,,,,,,,,,,,,,,,c. 103,c. 103,c. 103,103.0,103.0,103.0,mm,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_268_measure_1,manuscript_48,Add_A,MS_Add_A_268,MS. Add. A. 268,,MS_Add_A_268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_268_measure_2,manuscript_48,Add_A,MS_Add_A_268,MS. Add. A. 268,MS. Add. A. 268 - part B,MS_Add_A_268-partB,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_268_measure_3,manuscript_48,Add_A,MS_Add_A_268,MS. Add. A. 268,MS. Add. A. 268 - part C,MS_Add_A_268-partC,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_280_measure_1,manuscript_51,Add_A,MS_Add_A_280,MS. Add. A. 280,,MS_Add_A_280,,,,,,,,,,,,,,,,,215.0,215.0,215.0,155.0,155.0,155.0,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_286_measure_1,manuscript_54,Add_A,MS_Add_A_286,MS. Add. A. 286,,MS_Add_A_286,,,,,,,,,,,,,,,,,205.0,205.0,205.0,145.0,145.0,145.0,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_288_measure_1,manuscript_55,Add_A,MS_Add_A_288,MS. Add. A. 288,,MS_Add_A_288,,,,,,,,,,,,,,,,,215.0,215.0,215.0,160.0,160.0,160.0,,,,mm,,,,,,,,,,,,,,160–5,165.0,160.0,115–20,120.0,115.0,mm,,,,,,,,,,,,
MS_Add_A_30_measure_1,manuscript_57,Add_A,MS_Add_A_30,MS. Add. A. 30,MS. Add. A. 30 – Part 1 (fols. 1–236),MS_Add_A_30-part1,,,,,,,,,,,,,,,,,240.0,240.0,240.0,170.0,170.0,170.0,,,,mm,,,,,,,,,,,,,,160.0,160.0,160.0,113.0,113.0,113.0,mm,,,,,,,,,,,,
MS_Add_A_370_measure_1,manuscript_61,Add_A,MS_Add_A_370,MS. Add. A. 370,,,,,,,,,,,,,,,,,,,210.0,210.0,210.0,150.0,150.0,150.0,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_373_measure_1,manuscript_63,Add_A,MS_Add_A_373,MS. Add. A. 373,,MS_Add_A_373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_373_measure_2,manuscript_63,Add_A,MS_Add_A_373,MS. Add. A. 373,"MS. Add. A. 373, endleaf (fol. 100)",MS_Add_A_373-endleaf,fragment,,,,,,,,137.0,137.0,137.0,215.0,215.0,215.0,mm,,,,,,,,,,,,,,,137.0,137.0,137.0,215.0,215.0,215.0,mm,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_44_measure_1,manuscript_66,Add_A,MS_Add_A_44,MS. Add. A. 44,,MS_Add_A_44,,,,,,,,,,,,,,,,,175.0,175.0,175.0,118.0,118.0,118.0,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_61_measure_1,manuscript_71,Add_A,MS_Add_A_61,MS. Add. A. 61,,MS_Add_A_61,,,,,,,,,,,,,,,,55.0,170.0,170.0,170.0,130.0,130.0,130.0,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_92_measure_1,manuscript_76,Add_A,MS_Add_A_92,MS. Add. A. 92,,MS_Add_A_92,,,,,,,,,,,,,,,,,140.0,140.0,140.0,105.0,105.0,105.0,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_B_54_measure_1,manuscript_86,Add_B,MS_Add_B_54,MS. Add. B. 54,,MS_Add_B_54,,,,,,,,,,,,,,,,,160.0,160.0,160.0,105.0,105.0,105.0,,,,mm,,,,,,,,,,,,,,105.0,105.0,105.0,60–5,65.0,60.0,mm,,,,,,,,,,,,
MS_Add_B_62_measure_1,manuscript_91,Add_B,MS_Add_B_62,MS. Add. B. 62,,MS_Add_B_62,,,,,,,,,,,,,,,,,180.0,180.0,180.0,133.0,133.0,133.0,,,,mm,,,,,,,,,,,,,,135–40,140.0,135.0,95–102,102.0,95.0,mm,,,,,,,,,,,,
MS_Add_B_62_measure_2,manuscript_91,Add_B,MS_Add_B_62,MS. Add. B. 62,,MS_Add_B_62,,,,,,,,,,,,,,,,,180.0,180.0,180.0,133.0,133.0,133.0,,,,mm,,,,,,,,,,,,,,135–40,140.0,135.0,95–102,102.0,95.0,mm,,,,,,,,,,,,
MS_Add_C_108_measure_1,manuscript_94,Add_C,MS_Add_C_108,MS. Add. C. 108,,MS_Add_C_108,,,,,,,,,,,,,,,,,275.0,275.0,275.0,205.0,205.0,205.0,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_C_13_measure_1,manuscript_97,Add_C,MS_Add_C_13,MS. Add. C. 13,,MS_Add_C_13,,,,,,,,,,,,,,,,,335.0,335.0,335.0,235.0,235.0,235.0,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_C_142_measure_1,manuscript_107,Add_C,MS_Add_C_142,MS. Add. C. 142,,MS_Add_C_142,,,,,,,,,,,,,,,,,260.0,260.0,260.0,160.0,160.0,160.0,,,,mm,,,,,,,,,,,,,,184.0,184.0,184.0,115.0,115.0,115.0,mm,,,,,,,,,,,,
MS_Add_C_145_measure_1,manuscript_110,Add_C,MS_Add_C_145,MS. Add. C. 145,,MS_Add_C_145,,,,,,,,,,,,,,,,,239.0,239.0,239.0,176.0,176.0,176.0,,,,mm,,,,,,,,,,,,,,160–5,165.0,160.0,120–5,125.0,120.0,mm,,,,,,,,,,,,
MS_Add_C_147_measure_1,manuscript_112,Add_C,MS_Add_C_147,MS. Add. C. 147,,MS_Add_C_147,,,,,,,,,,,,,,,,,265.0,265.0,265.0,190.0,190.0,190.0,,,,mm,,,,,,,,,,,,,,160.0,160.0,160.0,110.0,110.0,110.0,mm,,,,,,,,,,,,
MS_Add_C_15_measure_1,manuscript_114,Add_C,MS_Add_C_15,MS. Add. C. 15,,MS_Add_C_15,,,,,,,,,,,,,,,,,320.0,320.0,320.0,240.0,240.0,240.0,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_C_151_measure_1,manuscript_116,Add_C,MS_Add_C_151,MS. Add. C. 151,,MS_Add_C_151,,,,,,,,,,,,,,,,,342.0,342.0,342.0,240.0,240.0,240.0,,,,mm,,,,,,,,,,,,,,230.0,230.0,230.0,165.0,165.0,165.0,mm,,,,,,,,,,,,
MS_Add_C_153_measure_1,manuscript_118,Add_C,MS_Add_C_153,MS. Add. C. 153,,MS_Add_C_153,,,,,,,,,,,,,,,,,310.0,310.0,310.0,220.0,220.0,220.0,,,,mm,,,,,,,,,,,,,,215.0,215.0,215.0,120.0,120.0,120.0,mm,,,,,,,,,,,,
MS_Add_C_188_measure_1,manuscript_124,Add_C,MS_Add_C_188,MS. Add. C. 188,,MS_Add_C_188,,,,,,,,,,,,,,,,,255.0,255.0,255.0,165.0,165.0,165.0,,,,mm,,,,,,,,,,,,,,190–5,195.0,190.0,110–15,115.0,110.0,mm,,,,,,,,,,,,
MS_Add_C_192_measure_1,manuscript_125,Add_C,MS_Add_C_192,MS. Add. C. 192,,MS_Add_C_192,,,,,,,,,,,,,,,,,325.0,325.0,325.0,240.0,240.0,240.0,,,,mm,,,,,,,,,,,,,,230–5,235.0,230.0,90–100,100.0,90.0,mm,,,,,,,,,,,,
MS_Add_C_249_measure_1,manuscript_132,Add_C,MS_Add_C_249,MS. Add. C. 249,,MS_Add_C_249,,,,,,,,,,,,,,,,,258.0,258.0,258.0,200.0,200.0,200.0,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_C_252_measure_1,manuscript_134,Add_C,MS_Add_C_252,MS. Add. C. 252,,MS_Add_C_252,,,,,,,,,,,,,,,,,190.0,190.0,190.0,115.0,115.0,115.0,,,,mm,,,,,,,,,,,,,,295.0,295.0,295.0,205.0,205.0,205.0,mm,,,,,,,,,,,,
MS_Add_C_260_measure_1,manuscript_136,Add_C,MS_Add_C_260,MS. Add. C. 260,,MS_Add_C_260,,,,,,,,,,,,,,,,,315.0,315.0,315.0,225.0,225.0,225.0,,,,mm,,,,,,,,,,,,,,230.0,230.0,230.0,140.0,140.0,140.0,mm,,,,,,,,,,,,
MS_Add_C_263_measure_1,manuscript_137,Add_C,MS_Add_C_263,MS. Add. C. 263,,MS_Add_C_263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_C_264_measure_1,manuscript_138,Add_C,MS_Add_C_264,MS. Add. C. 264,,MS_Add_C_264,,,,,,,,,,,,,,,,,300.0,300.0,300.0,220.0,220.0,220.0,,,,mm,,,,,,,,,,,,,,200–5,205.0,200.0,110.0,110.0,110.0,mm,,,,,,,,,,,,
MS_Add_C_280_measure_1,manuscript_145,Add_C,MS_Add_C_280,MS. Add. C. 280,,MS_Add_C_280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_C_29_measure_1,manuscript_149,Add_C,MS_Add_C_29,MS. Add. C. 29,,MS_Add_C_29,,,,,,,,,,,,,,,,,280.0,280.0,280.0,220.0,220.0,220.0,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_C_73_measure_1,manuscript_157,Add_C,MS_Add_C_73,MS. Add. C. 73,,MS_Add_C_73,,,,,,,,,,,,,,,,,285.0,285.0,285.0,200.0,200.0,200.0,,,,mm,,,,,,,,,,,,,,203.0,203.0,203.0,120.0,120.0,120.0,mm,,,,,,,,,,,,
MS_Add_D_10_measure_1,manuscript_163,Add_D,MS_Add_D_10,MS. Add. D. 10,,MS_Add_D_10,,,,,,,,,,,,,,,,,400.0,400.0,400.0,280.0,280.0,280.0,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_D_104_measure_1,manuscript_164,Add_D,MS_Add_D_104,MS. Add. D. 104,,MS_Add_D_104,,,,,,,,,,,,,,,,,485.0,485.0,485.0,325.0,325.0,325.0,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_D_39_measure_1,manuscript_171,Add_D,MS_Add_D_39,MS. Add. D. 39,,MS_Add_D_39,,,,,,,,,,,,,,,,,440.0,440.0,440.0,290.0,290.0,290.0,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_D_46_measure_1,manuscript_174,Add_D,MS_Add_D_46,MS. Add. D. 46,,MS_Add_D_46,,,,,,,,,,,,,,,,,390.0,390.0,390.0,280.0,280.0,280.0,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_D_47_measure_1,manuscript_175,Add_D,MS_Add_D_47,MS. Add. D. 47,,MS_Add_D_47,,,,,,,,,,,,,,,,,c. 400–405,405.0,400.0,275.0,275.0,275.0,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_D_48_measure_1,manuscript_176,Add_D,MS_Add_D_48,MS. Add. D. 48,,MS_Add_D_48,,,,,,,,,,,,,,,,,400.0,400.0,400.0,290.0,290.0,290.0,,,,mm,,,,,,,,,,,,,,267.0,267.0,267.0,182.0,182.0,182.0,mm,,,,,,,,,,,,
MS_Add_E_14_R_measure_1,manuscript_180,Add_E,MS_Add_E_14_R,MS. Add. E. 14 (R),,MS_Add_E_14_R,,4215.0,4215.0,4215.0,325.0,325.0,325.0,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Ash_Rolls_33_measure_1,manuscript_197,Ash_Rolls,MS_Ash_Rolls_33,MS. Ash. Rolls 33,,,,730.0,730.0,730.0,265.0,265.0,265.0,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Ash_Rolls_33_measure_2,manuscript_197,Ash_Rolls,MS_Ash_Rolls_33,MS. Ash. Rolls 33,,,,670.0,670.0,670.0,270.0,270.0,270.0,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Ash_Rolls_38_measure_1,manuscript_200,Ash_Rolls,MS_Ash_Rolls_38,MS. Ash. Rolls 38,,MS_Ash_Rolls_38,,3550.0,3550.0,3550.0,270.0,270.0,270.0,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Ash_Rolls_50_measure_1,manuscript_205,Ash_Rolls,MS_Ash_Rolls_50,MS. Ash. Rolls 50,,MS_Ash_Rolls_50,,1920.0,1920.0,1920.0,500.0,500.0,500.0,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Ash_Rolls_6_measure_1,manuscript_207,Ash_Rolls,MS_Ash_Rolls_6,MS. Ash. Rolls 6,,MS_Ash_Rolls_6,,,,,,,,,,,,,,,,,300 300,300 300,300 300,185 33,185 33,185 33,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Ashmole_1282_measure_1,manuscript_224,Ashmole,MS_Ashmole_1282,MS. Ashmole 1282,,MS_Ashmole_1282,,,,,,,,,,,,,,,,,165.0,165.0,165.0,110.0,110.0,110.0,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Ashmole_1291_measure_1,manuscript_230,Ashmole,MS_Ashmole_1291,MS. Ashmole 1291,,MS_Ashmole_1291,,,,,,,,,,,,,,,,,95.0,95.0,95.0,65.0,65.0,65.0,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Ashmole_1291_measure_2,manuscript_230,Ashmole,MS_Ashmole_1291,MS. Ashmole 1291,,MS_Ashmole_1291,,,,,,,,,,,,,,,,,95.0,95.0,95.0,65.0,65.0,65.0,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Ashmole_1291_measure_3,manuscript_230,Ashmole,MS_Ashmole_1291,MS. Ashmole 1291,,MS_Ashmole_1291,,,,,,,,,,,,,,,,,95.0,95.0,95.0,65.0,65.0,65.0,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Ashmole_1291_measure_4,manuscript_230,Ashmole,MS_Ashmole_1291,MS. Ashmole 1291,,MS_Ashmole_1291,,,,,,,,,,,,,,,,,95.0,95.0,95.0,65.0,65.0,65.0,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Ashmole_1404_measure_1,manuscript_245,Ashmole,MS_Ashmole_1404,MS. Ashmole 1404,,MS_Ashmole_1404,,,,,,,,,,,,,,,,,202–204,204.0,202.0,140–145,145.0,140.0,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Ashmole_1431_measure_1,manuscript_253,Ashmole,MS_Ashmole_1431,MS. Ashmole 1431,,MS_Ashmole_1431,,,,,,,,,,,,,,,,,235.0,235.0,235.0,150.0,150.0,150.0,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Ashmole_1431_measure_2,manuscript_253,Ashmole,MS_Ashmole_1431,MS. Ashmole 1431,"MS. Ashmole 1431, fols. 1–2",,,,,,,,,,,,,,,,,,233.0,233.0,233.0,152.0,152.0,152.0,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Ashmole_1511_measure_1,manuscript_290,Ashmole,MS_Ashmole_1511,MS. Ashmole 1511,,MS_Ashmole_1511,,,,,,,,,,,,,,,,,275.0,275.0,275.0,180–5,185.0,180.0,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Ashmole_1517_measure_1,manuscript_293,Ashmole,MS_Ashmole_1517,MS. Ashmole 1517,,MS_Ashmole_1517,,,,,,,,,,,,,,,,,280.0,280.0,280.0,205.0,205.0,205.0,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Ashmole_1522_measure_1,manuscript_297,Ashmole,MS_Ashmole_1522,MS. Ashmole 1522,,MS_Ashmole_1522,,,,,,,,,,,,,,,,,255.0,255.0,255.0,185.0,185.0,185.0,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Ashmole_1522_measure_2,manuscript_297,Ashmole,MS_Ashmole_1522,MS. Ashmole 1522,,MS_Ashmole_1522,,,,,,,,,,,,,,,,,255.0,255.0,255.0,185.0,185.0,185.0,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Ashmole_1523_measure_1,manuscript_298,Ashmole,MS_Ashmole_1523,MS. Ashmole 1523,,MS_Ashmole_1523,,,,,,,,,,,,,,,,,330.0,330.0,330.0,220.0,220.0,220.0,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Ashmole_1525_measure_1,manuscript_300,Ashmole,MS_Ashmole_1525,MS. Ashmole 1525,,MS_Ashmole_1525,,,,,,,,,,,,,,,,,304.0,304.0,304.0,210.0,210.0,210.0,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Ashmole_1525_measure_2,manuscript_300,Ashmole,MS_Ashmole_1525,MS. Ashmole 1525,,MS_Ashmole_1525,,,,,,,,,,,,,,,,,304.0,304.0,304.0,210.0,210.0,210.0,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Ashmole_1525_measure_3,manuscript_300,Ashmole,MS_Ashmole_1525,MS. Ashmole 1525,MS. Ashmole 1525 - endleaves (fols. 185-6),MS_Ashmole_1525-fols185-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Ashmole_210_measure_1,manuscript_315,Ashmole,MS_Ashmole_210,MS. Ashmole 210,MS. Ashmole 210 – Part 1,MS_Ashmole_210-part1,,,,,,,,,,,,,,,,,295.0,295.0,295.0,210.0,210.0,210.0,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
