metadata: measurement UID,metadata: file URL,metadata: collection,metadata: ms ID,metadata: shelfmark,metadata: ms type,metadata: part name,metadata: part ID,extent: extent,extent: n folios,extent: n endleaves,extent: n later endleaves,rolls: height,rolls: height max,rolls: height min,rolls: width,rolls: width max,rolls: width min,rolls: unit,rolls: converted,fragments: height,fragments: height max,fragments: height min,fragments: width,fragments: width max,fragments: width min,fragments: unit,leaves: height,leaves: height max,leaves: height min,leaves: width,leaves: width max,leaves: width min,leaves: depth,leaves: depth max,leaves: depth min,leaves: unit,columns: n,columns: n max,columns: n min,columns: height,columns: height max,columns: height min,columns: width,columns: width max,columns: width min,columns: unit,intercolumn: width,intercolumn: width max,intercolumn: width min,intercolumn: unit,written area: n,written area: n max,written area: n min,written area: height,written area: height max,written area: height min,written area: width,written area: width max,written area: width min,written area: unit,ruling: n,ruling: n max,ruling: n min,ruling: height,ruling: height max,ruling: height min,ruling: width,ruling: width max,ruling: width min,ruling: unit,ruling: medium,ruling: top line
_measure_4,manuscript_1,,,"Cambridge, Trinity College, MS O.8.2",part,,,Codex: 3 leaves. 205 135,3.0,,,,,,,,,,,,,,,,,,205.0,205.0,205.0,135.0,135.0,135.0,,,,mm,1 3,3.0,1.0,,,,,,,,,,,,45 50,50.0,45.0,160-165,165.0,160.0,100-105,105.0,100.0,mm,,,,,,,,,,,leadpoint,below
_measure_5,manuscript_1,,,"Cambridge, Trinity College, MS O.8.2",part,,,Codex: 82 leaves. 205-215 150,82.0,,,,,,,,,,,,,,,,,,205-215,215.0,205.0,150.0,150.0,150.0,,,,mm,1 2,2.0,1.0,,,,,,,,,,,,50 64,64.0,50.0,170-195,195.0,170.0,110-115,115.0,110.0,mm,,,,,,,,,,,ink,below
_measure_1,manuscript_12015,,,"Cambridge, Trinity College, MS O.8.3",manuscript,,MS-TRINITY-O-00008-00003,Codex i + 1 + 297 + i 215 145,297.0,1.0,2.0,,,,,,,,,,,,,,,,215.0,215.0,215.0,145.0,145.0,145.0,,,,mm,1.0,1.0,1.0,,,,,,,,,,,,21.0,21.0,21.0,155.0,155.0,155.0,85.0,85.0,85.0,mm,,,,,,,,,,,,
_measure_1,manuscript_12016,,,"Cambridge, Trinity College, MS O.8.7",manuscript,,MS-TRINITY-O-00008-00007,Codex iii + 74 + 9 + i 217 150,74.0,9.0,4.0,,,,,,,,,,,,,,,,217.0,217.0,217.0,150.0,150.0,150.0,,,,mm,1.0,1.0,1.0,,,,,,,,,,,,13.0,13.0,13.0,135.0,135.0,135.0,90.0,90.0,90.0,mm,,,,,,,,,,,ink,
_measure_1,manuscript_12017,,,"Cambridge, Trinity College, MS O.8.8",manuscript,,MS-TRINITY-O-00008-00008,Codex 2 + 42 + 1 211 155,42.0,3.0,,,,,,,,,,,,,,,,,211.0,211.0,211.0,155.0,155.0,155.0,,,,mm,1.0,1.0,1.0,,,,,,,,,,,,16 38,38.0,16.0,172-182,182.0,172.0,120-140,140.0,120.0,mm,,,,,,,,,,,,
_measure_1,manuscript_12018,,,"Cambridge, Trinity College, MS O.8.10",manuscript-composite,,MS-TRINITY-O-00008-00010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_measure_2,manuscript_12018,,,"Cambridge, Trinity College, MS O.8.10",manuscript-composite,,MS-TRINITY-O-00008-00010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_measure_3,manuscript_12018,,,"Cambridge, Trinity College, MS O.8.10",part,,,,,,,,,,,,,,,,,,,,,,200.0,200.0,200.0,160.0,160.0,160.0,,,,mm,1.0,1.0,1.0,,,,,,,,,,,,29.0,29.0,29.0,166.0,166.0,166.0,125.0,125.0,125.0,mm,,,,,,,,,,,,
_measure_4,manuscript_12018,,,"Cambridge, Trinity College, MS O.8.10",part,,,,,,,,,,,,,,,,,,,,,,200.0,200.0,200.0,160.0,160.0,160.0,,,,mm,1.0,1.0,1.0,,,,,,,,,,,,21 25,25.0,21.0,154-179,179.0,154.0,120.0,120.0,120.0,mm,,,,,,,,,,,,
_measure_5,manuscript_12018,,,"Cambridge, Trinity College, MS O.8.10",part,,,,,,,,,,,,,,,,,,,,,,200.0,200.0,200.0,160.0,160.0,160.0,,,,mm,1.0,1.0,1.0,,,,,,,,,,,,32 36,36.0,32.0,177-182,182.0,177.0,115.0,115.0,115.0,mm,,,,,,,,,,,,
