metadata: hand UID,metadata: file URL,metadata: collection,metadata: ms ID,metadata: shelfmark,metadata: ms type,metadata: part name,metadata: part ID,overview: hands,overview: total hands,person: scribe ref,person: hand ID,person: person(s),person: person ID(s),locus: scope,locus: n,locus: locus,locus: from,locus: to,date: date,date: when,date: not before,date: not after,date: certainty,date: calendar,palaeography: script,palaeography: execution,palaeography: medium,palaeography: terms,palaeography: desc,palaeography: char,palaeography: characters,palaeography: ligature,palaeography: abbreviations,palaeography: corrections,palaeography: punctuation,palaeography: nota,palaeography: language
_hand_1,manuscript_1,,,"Cambridge, Emmanuel College, MS 95",part,,,f. [a] verso-[b] recto contain text written by a 16th-century scribe writing in a secretary hand. f. [b] verso contains text written by a 16th-century scribe writing in a secretary hand.,,,,,,,2.0,[a] verso-[b] recto; [b] verso,[a] verso [b] verso,[b] recto [b] verso,,,,,,,cursiva,,,secretary; secretary,,,,,,,,,
_hand_1,manuscript_1,,,"Cambridge, Emmanuel College, MS 69",manuscript,,MS-EMMANUEL-COLLEGE-00069,ff. 1v-198v were copied by a single scribe working in a cursive script with strong anglicana features.,,,,,,,1.0,1v-198v,1v,198v,,,,,,,cursivaAntiquior,,,anglicana,,,,,,,,,
_hand_1,manuscript_1,,,"Cambridge, Emmanuel College, MS 70",manuscript,,MS-EMMANUEL-COLLEGE-00070,"The majority of the text in this manuscript was written in a cursiva antiquior anglicana by the English composer (d. 1453). John Dunstable John Dunstable (d. 1453) See R. M. Thomson, 'John Dunstable and His Books', The Musical Times, 150.1909 (2009), pp. 3–16 for further information.",,,,,,,,,,,,,,,,,cursiva,,,anglicana,,,,,,,,,
_hand_1,manuscript_1,,,"Cambridge, Emmanuel College, MS 66",part,,,Written in a cursiva libraria with many anglicana and secretary features.,,,,,,,,,,,,,,,,,cursiva,,,anglicana; secretary,,,,,,,,,
_hand_1,manuscript_1,,,"Cambridge, University Library, MS Ii.3.17",part,,,"Written by several scribes, in Anglicana up to f. 46v, and Anglicana formata from f. 48r onwards (and for additions to ff. 46v-47v). An enlarged style of Anglicana formata is used as a display script for rubrics and chapter headings from f. 48r onward.",,,,,,,1.0,48r,48r,48r,,,,,,,cursivaAntiquior,,,Anglicana; Anglicana formata; Anglicana formata,,,,,,,,,
_hand_1,manuscript_1,,,,manuscript,,MS-FF-00001-00025-00004,Written in littera textualis script.,,,,,,,,,,,,,,,,,textualisNorthern,,,littera textualis,,,,,,,,,
_hand_1,manuscript_1,,,,manuscript,,MS-II-00006-00031,"Hand: There is one scribe throughout. The hand is a large, clear, highly legible Gothic bookhand, well-spaced, with a set aspect. There is a close resemblance to textura quadrata, as the minims have distinct diamond-shaped feet, but there are also multiple features of bastard anglicana which make it difficult to designate a single script. The ascenders are particularly long, especially in the case of 'k' and the barred double 'l'; 'h' is often crossed with a bar, which does not necessarily indicate an abbreviation, and its limb consistently descends below the ruled line. Both long 's' and the 'st' ligature are used, the 'g' is closed with a separate horizontal stroke, and the 'y' has a long descender, which curves to the right. The closed double compartment 'a' is typical of the gothic script, whereas the 'w' is closer to the Anglicana form. There are consistent otiose strokes at the end of words, particularly following 'r', 's' and 't'. The spelling reflects the later date of the manuscript: 'th' replaces þ/thorn, which is retained only for the 'þat' abbreviation. The hand changes slightly in size and aspect through the manuscript. The text on f. 4r is notably smaller, for example, and on f. 47v, lines 6-10, the hand briefly becomes extremely pointed and angular, and uses bifurcated ascenders, two-shaped ‘r', and a capital 'a' composed of two curved strokes. Abbreviations: The scribe uses a number of common abbreviations throughout. ‘þ t' is used for 'þat', and 'wt' for 'with', most commonly in the forms 'wtin' and 'wtout'. Macrons are used to denote missing 'm' and 'n' in both the English main text and the Latin rubrics. A macron is also used twice on fol. 3v above 'both', to indicate a missing 'o'. In one instance (f. 47v), a barred 'p' is used to indicate 'er' in 'perfectly'. Punctuation: The scribe uses a punctus throughout, to indicate both the end of the sentence and caesura. The colon is also regularly used, along with virgulae, to mark caesura. Parentheses are occasionally used, as on ff. 62v and 64r. Corrections: All corrections are in the scribal hand and inserted superscript, with or without a caret mark. Examples of both kinds can be seen on f. 4v.",,,,,,,6.0,4r; 47v; 47v; 62v; 64r; 4v,4r 47v 47v 62v 64r 4v,4r 47v 47v 62v 64r 4v,,,,,,,textualisNorthern,,,textura quadrata; bastard anglicana,,,,,,,,,
_hand_1,manuscript_1,,,"Cambridge, University Library, MS Ii.5.11",manuscript,,MS-II-00005-00011,The main text is written in a late northern textualis formata with some libraria features.,,,,,,,,,,,,,,,,,textualisNorthern,,,formata; libraria,,,,,,,,,
_hand_1,manuscript_1,,,,manuscript,,MS-FF-00004-00042,Textura quadrata,,,,,,major,,,,,,,,,,,other,,,,,,,,,,,,
_hand_1,manuscript_1,,,,part,,,Copied by several hands writing mostly in Anglicana (occasionally straying into a slightly more formal Anglicana formata).,,,,,,,,,,,,,,,,,cursivaAntiquior,,,Anglicana; Anglicana formata,,,,,,,,,
_hand_1,manuscript_1,,,,part,,,Written in littera textualis.,,,,,,,,,,,,,,,,,textualisNorthern,,,littera textualis,,,,,,,,,
_hand_1,manuscript_1,,,"Cambridge, University Library, MS Ee.2.29",part,,,Copied by a single hand writting in a cursive script with Secretary and Anglicana features.,,,,,,,,,,,,,,,,,Cursiva,,,Secretary; Anglicana,,,,,,,,,
_hand_1,manuscript_1,,,"Cambridge, University Library, MS Dd.5.76",part,,,ff. 1r-26r is written by a single hand writing in an Anglicana script.,,,,,,,1.0,1r-26r,1r,26r,,,,,,,cursivaAnqituior,,,Anglicana,,,,,,,,,
_hand_1,manuscript_1,,,,part,,,"Written by a single hand in an inexpert, uneven secretary script.",,,,,,,,,,,,,,,,,cursiva,,,secretary,,,,,,,,,
_hand_1,manuscript_1,,,,manuscript,,MS-II-00006-00032,Insular minuscule,,,,,,major,,,,,,,,,,,other,,,,,,,,,,,,
_hand_1,manuscript_1,,,,manuscript,,MS-FF-00001-00025-00002,"Written in Elizabethan Secretary script, with a Bastard Secretary script of a larger module used for rubrics and opening words. Some sections written in an italic script.",,,,,,,,,,,,,,,,,cursiva,,,Secretary; Bastard Secretary; italic,,,,,,,,,
_hand_1,manuscript_1,,,,manuscript,,MS-ADD-03021,Written in littera textualis.,,,,,,major,,,,,,,,,,,textualisNorthern,,,littera textualis,,,,,,,,,
_hand_1,manuscript_1,,,,part,,,"Mainly written by a single mid-14th-century hand, in anglicana. Additions by two other hands also writing in Anglicana on f. 1:i verso and 1:ii verso.",,,,,,,,,,,,,,,,,cursivaAntiquior,,,anglicana,,,,,,,,,
_hand_1,manuscript_1,,,,manuscript,,MS-ADD-03020,Written in littera textualis.,,,,,,,,,,,,,,,,,textualisNorthern,,,littera textualis,,,,,,,,,
_hand_1,manuscript_1,,,,manuscript,,MS-FF-00001-00025-00003,"Written in Elizabethan Secretary script, with a Bastard Secretary script of a larger module used for rubrics and opening words. Some rubrics written in an italic script.",,,,,,,,,,,,,,,,,cursiva,,,Secretary; Bastard Secretary; italic,,,,,,,,,
_hand_1,manuscript_1,,,,part,,,Deed written in a 16th-century Secretary script.,,,,,,,,,,,,,,,,,cursiva,,,Secretary,,,,,,,,,
_hand_1,manuscript_1,,,,manuscript,,MS-DD-00013-00027,Written in late gothic script by a single scribe.,,,,,,major,,,,,,,,,,,other,,,late gothic,,,,,,,,,
_hand_1,manuscript_1,,,"Cambridge, University Library, MS Add. 9309",manuscript,,MS-ADD-09309,"The medical recipes are written in a cursive Secretary script with Anglicana features, including the double-compartment 'a' which is used in headings.",,,,,,,,,,,,,,,,,cursiva,,,Secretary; Anglicana,,,,,,,,,
_hand_1,manuscript_1,,,"Cambridge, University Library, MS Add. 9308",part,,,"Written in Anglicana formata, perhaps by two hands (changing over on f. ii verso, at 'For to do a norsche haue melk').",,,,,,,,,,,,,,,,,cursivaAntiquior,,,Anglicana formata,,,,,,,,,
_hand_1,manuscript_1,,,"Cambridge, University Library, MS Ee.3.59",manuscript,,MS-EE-00003-00059,Written in a cursive gothic bookhand.,,,,,,,,,,,,,,,,,semitextualis,,,cursive gothic bookhand,,,,,,,,,
_hand_1,manuscript_1,,,,manuscript,,MS-KK-00001-00024,Written in half uncial.,,,,,,,,,,,,,,,,,halfUncial,,,half uncial,,,,,,,,,
_hand_1,manuscript_1,,,"Cambridge, University Library, MS Ff.5.5",manuscript,,MS-FF-00005-00005,Written by a single scribe in an Anglicana script.,,,,,,,,,,,,,,,,,cursivaAntiquior,,,Anglicana,,,,,,,,,
_hand_1,manuscript_1,,,"Cambridge, University Library, MS Add. 7912",manuscript,,MS-ADD-07912,The text on ff. 10r-75v was written by a single hand in a cursive script with predominantly Anglicana features.,,,,,,,1.0,10r-75v,10r,75v,,,,,,,cursivaAntiquior,,,Anglicana,,,,,,,,,
_hand_1,manuscript_1,,,"Cambridge, University Library, MS Kk.5.13",manuscript,,MS-KK-00005-00013,'[W]ritten throughout by one scribe in sloping medium-sized Caroline minuscule.' Further detailed description and analysis of the script provided by T.A.M. Bishop (see Source).,,,,,,,,,,,,,,,,,minusculeCaroline,,,Caroline minuscule,,,,,,,,,
_hand_1,manuscript_1,,,"Cambridge, University Library, MS Gg.4.6",manuscript,,MS-GG-00004-00006,Written in littera textualis by a single scribe.,,,,,,,,,,,,,,,,,textualisNorthern,,,littera textualis,,,,,,,,,
_hand_1,manuscript_1,,,"Cambridge, University Library, MS Kk.6.33",part,,,"Written by different hands writing in cursive scripts, predominantly Anglicana but also including Secretary features.",,,,,,,,,,,,,,,,,CursivaAntiquior,,,Anglicana; Secretary,,,,,,,,,
_hand_1,manuscript_1,,,,part,,,"Volume I, containing Gildas and Nennius, from pages 1-40 has been written in one hand, of probable twelfth-century date. A different hand of the twelfth century has written Part III, containing Bede's De Temporum ratione, on pages 73-120. Part IV (122-194) containing Symeon of Durham, appears to have been written in the same twelfth-century hand as Part III. However, pages 191-194 contain matter written in several hands. The Life of Cuthbert from pages 195-202, together with the Old English Durham poem on page 202, have been written in the same hand. Miscellaneous different hands are responsible for the Visiones (217-220); Gilbertus Episcopus Lumicensis (237-242) and the miscellany of regnal lists (243-252).",,,,,,major,9.0,1-40; 73-120; 122-194; 191-194; 195-202; 202; 217-220; 237-242; 243-252,1 73 122 191 195 202 217 237 243,40 120 194 194 202 202 220 242 252,,,,,,,other,,,,,,,,,,,,
_hand_1,manuscript_1,,,"Cambridge, University Library, MS Dd.12.23",manuscript,,MS-DD-00012-00023,"Folios 1r-13r, 15r-21r and 25r-37r written in secretary hands.",,,,,,,3.0,1r-13r; 15r-21r; 25r-37r,1r 15r 25r,13r 21r 37r,,,,,,,cursiva,,,secretary,,,,,,,,,
_hand_1,manuscript_1,,,"Cambridge, University Library, MS Mm.6.17",part,,,This part of the manuscript is written by a single scribe in a cursive script with both Anglicana and Secretary features (e.g. single- and double-compartment 'a').,,,,,,,,,,,,,,,,,Cursiva,,,Anglicana; Secretary,,,,,,,,,
_hand_1,manuscript_1,,,MS Add. 3303(3),manuscript,,MS-ADD-03303-00003,Written in a littera textualis bookhand.,,,,,,,,,,,,,,,,,textualisNorthern,,,littera textualis,,,,,,,,,
_hand_1,manuscript_1,,,"Cambridge, University Library, MS Kk.6.30",part,,,Folios 1r-45v and 60r-60v perhaps copied by a single hand in a script with both anglicana and secretary features.,,,,,,,2.0,1r-45v; 60r-60v,1r 60r,45v 60v,,,,,,,cursiva,,,anglicana; secretary,,,,,,,,,
_hand_1,manuscript_1,,,"Cambridge, University Library, MS Dd.6.9",manuscript,,MS-DD-00006-00009,Copied by various hands in Secretary scripts.,,,,,,,,,,,,,,,,,Cursiva,,,Secretary,,,,,,,,,
_hand_1,manuscript_1,,,,manuscript,,MS-FF-00001-00017-00001,Gothic textualis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_hand_1,manuscript_1,,,"Cambridge, University Library, MS Ii.4.6",part,,,Written in secretary script.,,,,,,,,,,,,,,,,,cursivaAntiquior,,,secretary,,,,,,,,,
_hand_1,manuscript_1,,,"Cambridge, University Library, MS Add. 2994",part,,,Written in the anglicana style of cursiva antiquior by several different scribes.,,,,,,,,,,,,,,,,,cursivaAntiquior,,,anglicana,,,,,,,,,
_hand_1,manuscript_1,,,MS Gg.6.42,part,,,Gothic textualis.,,,,,,,,,,,,,,,,,textualisNorthern,,,,,,,,,,,,
_hand_1,manuscript_1,,,,manuscript,,MS-II-00002-00004,"Written in English vernacular minuscule by a single scribe throughout. The script is round and upright, sharing many of the principal characteristics of the Exeter type. Drage calls it the most calligraphically accomplished piece of insular minuscule produced at Exeter (Drage 1975:173). When Latin is used, the letter forms are distinctly different. '",,,,,,major,,,,,,,,,,,other,,,English vernacular minuscule,,,,,,,,,
_hand_1,manuscript_1,,,"Cambridge, University Library, MS Dd.8.12",part,,,Written in a form of Secretary with some Anglicana features.,,,,,,,,,,,,,,,,,cursiva,,,Secretary with some Anglicana features,,,,,,,,,
_hand_1,manuscript_1,,,"Cambridge, University Library, MS Dd.5.5",manuscript,,MS-DD-00005-00005,Written in textura quadrata.,,,,,,,,,,,,,,,,,textualisNorthern,,,textura quadrata,,,,,,,,,
_hand_1,manuscript_1,,,"Cambridge, University Library, MS Add. 5368",manuscript,,MS-ADD-05368,Folios 5-190 written in protogothic minuscule by at least two scribes.,,,,,,,,,,,,,,,,,protogothic,,,protogothic,,,,,,,,,
_hand_1,manuscript_1,,,"Cambridge, University Library, MS Ff.6.51",part,,,This part of the manuscript is written by a single scribe in Northern Gothica Textualis.,,,,,,,,,,,,,,,,,textualisNorthern,,,Northern Gothica Textualis,,,,,,,,,
_hand_1,manuscript_1,,,,manuscript,,MS-MM-00005-00031,Gothic bookhand (textualis),,,,,,major,,,,,,,,,,,textualis,,,,,,,,,,,,
_hand_1,manuscript_1,,,,manuscript,,MS-KK-00005-00016,"For a detailed description of the handwriting, spacing, peculiarities, omissions, scribal errors, and punctuation, see P.H. Blair in the Preface to EEMF (1959), pp. 15-23.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_hand_1,manuscript_1,,,"Cambridge, University Library, MS Ff.6.53",manuscript,,MS-FF-00006-00053,The manuscript's main script is Northern Gothica Textualis.,,,,,,,,,,,,,,,,,textualisNorthern,,,Northern Gothica Textualis,,,,,,,,,
_hand_1,manuscript_1,,,"Cambridge, University Library, MS Ff.1.23",manuscript,,MS-FF-00001-00023,"Apparently copied by a single scribe (a 'large and clumsy hand': Ker (1957)), the text of both the Old English and Latin versions of the Psalms and of the other contents is written predominantly in Insular minuscule. However, for the opening leaves, up to part-way through f. 6v, the scribe used Caroline minuscule for the Latin text.",,,,,,,1.0,6v,6v,6v,,,,,,,minusculeInsular,,,Insular minuscule; Caroline minuscule,,,,,,,,,
_hand_1,manuscript_1,,,"Cambridge, University Library, MS Ii.2.12",manuscript,,MS-II-00002-00012,"Written in anglicana. According to McIntosh (1986), 'MS in one hand...Analysis from fff. 92v-97v, 112r-116r. LP 164. Grid 472 360. Notts'.",,,,,,,,,,,,,,,,,cursivaAntiquior,,,anglicana,,,,,,,,,
_hand_1,manuscript_1,,,,manuscript,,,"Written in caroline minuscule by several scribes, perhaps at Lyons, with the principal change of hand occurring at f. 89r, at the beginning of Quire 12.",,,,,,,1.0,89r,89r,89r,,,,,,,caroline minuscule,,,caroline minuscule,,,,,,,,,
_hand_1,manuscript_1,,,,manuscript,,MS-II-00001-00033,"As Bremmer and Dekker note, 'There are various reconstructions of the arrangements of scribal hands, which are related to the history of the compilation of the manuscript, and throughout the manuscript there are interlinear corrections in what appear to be contemporaneous hands.' Their description (ASMMF, 2013) provides a summary of and references to the key publications (see Source).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_hand_1,manuscript_1,,,"Cambridge, University Library, MS Ii.6.43",part,,,This description of hands is based on Towl (2011).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_hand_1,manuscript_1,,,MS Add. 5948,manuscript,,MS-ADD-05948,"Early Caroline minuscule. Further description available in Bischoff and Brown (1985), p. 323, no. 1818 , reproduced in part on (NUI Galway). Earlier Latin Manuscripts",,,,,,,,,,,,,,,,,minusculeCaroline,,,Early Caroline minuscule,,,,,,,,,
_hand_1,manuscript_1,,,"Cambridge, University Library, MS Add. 3120",part,,,Copied by a single hand in a Gothic Textualis script.,,,,,,,,,,,,,,,,,northernTextualis,,,Gothic Textualis,,,,,,,,,
_hand_1,manuscript_1,,,"Cambridge, University Library, MS Ee.5.18",part,,,Copied by a single hand writing in a cursive script with both Anglicana and Secretary features.,,,,,,,,,,,,,,,,,cursiva,,,Anglicana; Secretary,,,,,,,,,
_hand_1,manuscript_1,,,"Cambridge, University Library, MS Add. 4087",manuscript,,MS-ADD-04087,Written in a small informal Anglicana.,,,,,,,,,,,,,,,,,CursivaAntiquior,,,Anglicana,,,,,,,,,
_hand_1,manuscript_1,,,,manuscript,,MS-GG-00001-00001,Written by several scribes in Gothic bookhand (textualis).,,,,,,major,,,,,,,,,,,,,,Gothic bookhand (textualis),,,,,,,,,
_hand_1,manuscript_1,,,"Cambridge, University Library, MS Add. 9213",part,,,Main text is written in a late protogothic with some transitional textualis features by at least two scribes.,,,,,,,,,,,,,,,,,protogothic,,,,,,,,,,,,
_hand_1,manuscript_1,,,,manuscript,,MS-GG-00004-00018,"Copied by a single hand in Anglicana formata, with choice and formation of some letterforms influenced by Secretary.The hand is clear and uniform with sparse linking between individual letters. The most common ligatures are: cr, th, ti, te, ht, st, ss, ge, ga, fu. The minims are formed by separate, vertical strokes, characteristic of Anglicana formata. Anglicana letterforms include a slightly truncated long r and 8-shaped g (but see below), w with bows, d with looped ascender, the initial and final position sigma-shaped s, the extension of the shaft of t above the head stroke; and closed v with looped left ascender. Secretary influence is visible in the consistent use of single compartment a, 2-shaped and short r and open-tailed g. Spikiness of lobes is not pronounced.",,,,,,,,,,,,,,,,,cursivaAntiquior,,,Anglicana formata; Secretary,,,,,,,,,
_hand_1,manuscript_1,,,,manuscript,,MS-ADD-10185-00001,Written in a littera textualis script.,,,,,,,,,,,,,,,,,textualisNorthern,,,littera textualis,,,,,,,,,
_hand_1,manuscript_1,,,"Cambridge, University Library, MS Dd.6.29",manuscript,,MS-DD-00006-00029,"Various Gothic bookhands ( cursiva, textualis and hybrida). Unit 1, ff. 2r-14rUnit 2, ff. 20r-25rUnit 2, ff. 26r-33rUnit 3, ff. 34r-106vUnit 4, ff. 110r-vUnit 4, ff. 111r-125v",,,,,,,6.0,2r-14r; 20r-25r; 26r-33r; 34r-106v; 110r-v; 111r-125v,2r 20r 26r 34r 110r 111r,14r 25r 33r 106v 110v 125v,,,,,,,textualisNorthern,,,cursiva; textualis; hybrida,,,,,,,,,
_hand_1,manuscript_1,,,,manuscript,,MS-ADD-04126,Written in humanistic script by a single scribe.,,,,,,,,,,,,,,,,,humanistica,,,humanistic,,,,,,,,,
_hand_1,manuscript_1,,,"Cambridge, University Library, MS Add. 4085",manuscript,,MS-ADD-04085,Written by a single hand in littera textualis.,,,,,,,,,,,,,,,,,textualisNorthern,,,littera textualis,,,,,,,,,
_hand_1,manuscript_1,,,,manuscript,,MS-000GG-00004-00031,"All the texts are written in sixteenth-century Secretary hand by the same scribe. The rubricated sections are written by the same hand but in a different, more careful script.",,,,,,major,,,,,sixteenth-century,,,,,,other,,,Secretary hand,,,,,,,,,
_hand_1,manuscript_1,,,"Cambridge, University Library, MS Ee.5.22",manuscript,,MS-EE-00005-00022,"Written by several scribes, each using the anglicana form of cursiva antiquior.",,,,,,,,,,,,,,,,,cursivaAntiquior,,,anglicana,,,,,,,,,
_hand_1,manuscript_1,,,"Cambridge, University Library, MS Gg.4.27(1)",part,,,"Scribe A: Quires 1-42 (ff. 5-505) and part of Quire 43 (ff. 506r-507v, 511r-512v and 515r-516v only). 'For the text, Scribe A adopted a mixed hand: Anglicana Formata in aspect, but with forms and features derived from different scripts', including Bastard Secretary, Textura Semi-quadrata, and a range of scripts for display purposes, including Secretary and Textura. Scribe A also copied , ff. 1r-56v.Oxford, Bodleian Library, MS e Musaeo 116",,,,,,major,,,,,,,,,,,cursivaAntiquior,,,Anglicana Formata,,,,,,,,,
_hand_1,manuscript_1,,,,manuscript,,MS-NN-00004-00001,Gothic bookhand (textualis),,,,,,major,,,,,,,,,,,textualis,,,,,,,,,,,,
_hand_1,manuscript_1,,,,part,,,Hand 1: ff. 3r-138v (Quires 1-17).,,,,,,,1.0,3r-138v,3r,138v,,,,,,,cursivaAntiquior,,,,,,,,,,,,
_hand_1,manuscript_1,,,"Cambridge, University Library, MS Add. 6865",part,,,Written in northern textualis libraria with anglicana features.,,,,,,,,,,,,,,,,,northernTextualis,,,anglicana,,,,,,,,,
_hand_1,manuscript_1,,,"Cambridge, University Library, MS Dd.8.19",part,,,The two leaves are written in Northern Textualis by a single hand,,,,,,,,,,,,,,,,,textualisNorthern,,,Northern Textualis,,,,,,,,,
_hand_1,manuscript_1,,,,part,,,Written in an early modern secretary script.,,,,,,,,,,,,,,,,,cursive,,,secretary,,,,,,,,,
_hand_1,manuscript_1,,,"Cambridge, University Library, MS Dd.10.44",part,,,opied by a single scribe in an Anglicana script.,,,,,,,,,,,,,,,,,CursivaAntiquior,,,Anglicana,,,,,,,,,
_hand_1,manuscript_1,,,"Cambridge, University Library, MS Ee.1.3",manuscript,,MS-EE-00001-00003,"Written in many different cursive hands, all of them writing in Anglicana scripts with Secretary features.",,,,,,,,,,,,,,,,,Cursiva,,,Anglicana; Secretary,,,,,,,,,
_hand_1,manuscript_1,,,,manuscript,,MS-EE-00004-00024,Written in littera textualis.,,,,,,,,,,,,,,,,,textualisNorthern,,,littera textualis,,,,,,,,,
_hand_1,manuscript_1,,,"Cambridge, University Library, MS Dd.13.3",manuscript,,MS-DD-00013-00003,Written in littera textualis.,,,,,,,,,,,,,,,,,textualisNorthern,,,littera textualis,,,,,,,,,
_hand_1,manuscript_1,,,"Cambridge, University Library, MS Ii.6.5",part,,,Written in protogothic minuscule by a single scribe.,,,,,,,,,,,,,,,,,protogothic,,,,,,,,,,,,
_hand_1,manuscript_1,,,"Cambridge, University Library, MS Ii.6.39",part,,,Written by a single hand in an extremely cursive hand.,,,,,,,,,,,,,,,,,Cursiva,,,,,,,,,,,,
_hand_1,manuscript_1,,,MS Dd.1.11,part,,,Written in an early modern secretary script.,,,,,,,,,,,,,,,,,cursiva,,,secretary,,,,,,,,,
_hand_1,manuscript_1,,,"Cambridge, University Library, MS Ll.2.2",manuscript,,MS-LL-00002-00002,Folios 15r-28v and ff. 73r-84v were copied by a single hand working in a Gothica Cursiva Libraria script.,,,,,,,,,,,,,,,,,cursiva,,,Gothica Cursiva Libraria,,,,,,,,,
_hand_1,manuscript_1,,,,manuscript,,MS-FF-00004-00042,"A total of fourteen medieval hands have been identified in the manuscript; thirteen of them use insular minuscule with variations between them with respect to the use of set or cursive forms. At least one, probably English, scribe contributed glosses in an Anglo-Caroline minuscule no later than the early eleventh century. The scribe of the main text, Núadu, names himself in a colophon on fol. 55r, Araut dinuadu. Since the form of his name is Irish, it has been suggested that he was an Irish monk working in a Welsh scriptorium.Seven of the thirteen Celtic scribes were first identified by Henry Bradshaw, who labeled them A–G, with A referring to Núadu. The remaining Celtic scribes were named ‘The First Revisor’, ‘The Second Revisor’, ‘The Matthus in Iudea scribe’, Cyfeilliog, ‘The Beginner’ and ‘“Antonius”, the Scribbler’ by Helen McKee. For further details on the scribes, see McKee 2000:9–31.",,,,,,,1.0,55r,55r,55r,,,,,,,,,,,,,,,,,,,
_hand_1,manuscript_1,,,"Cambridge, University Library, MS Dd.3.52",manuscript,,MS-DD-00003-00052,Folios 3r-8v have been written by a scribe in Secretary script.,,,,,,,1.0,3r-8v,3r,8v,,,,,,,cursiva,,,Secretary,,,,,,,,,
_hand_1,manuscript_1,,,"Cambridge, University Library, MS Ii.3.21",part,,,Written in Anglicana formata by a single hand.,,,,,,,,,,,,,,,,,cursivaAntiquior,,,Anglicana formata,,,,,,,,,
_hand_1,manuscript_1,,,"Cambridge, University Library, MS Ee.1.15",part,,,"Several cursive hands, mostly writing in scripts with both Anglicana and Secretary features throughout.",,,,,,,,,,,,,,,,,Cursiva,,,Anglicana; Secretary,,,,,,,,,
_hand_1,manuscript_1,,,"Cambridge, University Library, MS Dd.3.51",part,,,Written in the libraria form of northern textualis.,,,,,,,,,,,,,,,,,textualisNorthern,,,libraria,,,,,,,,,
_hand_1,manuscript_1,,,,manuscript,,MS-ADD-03206-00001,"English vernacular minuscule. According to N.R. Ker, 'a neat, rather pointed hand: 'e' round-backed: long and low forms of 's' used indifferently: long ascenders and descenders: the ends of the descenders are usually seriffed.' The aspect is broad but pointed and slightly backward-leaning. Rustic capitals are used at the beginning of sections. Summary of the characteristics of the hand (from Takako Kato): Insular single compartment a is triangular, but rounded. The a component of æ is rounded triangular, and the same height as or slightly higher than e. Insular d is round-backed, with the short upstroke at 45º, and tapering backward to the right. e is round and its horizontal line goes up to the right and often finishes with a tongue. Insular f: the downstroke is straight with a wedged top and finishes with a serif that turns up to the right, and the tongue is longer than the shoulder. The shoulder consists of a upright diagonal and a short downward vertical line. Insular g has a flat top; the vertical stroke joins the horizontal bar towards the left, and the lower lobe is closed. The sizes of the upper and lower lobes are the same. Insular h: the ascender has a split top; both limbs are straight and have distinct serifs that turn up to the right at 45º. minims have distinct serifs that turn up to the right at 45º. r is insular. There are two kinds of s: insular s with a straight descender with a serif to the right, and a long s with a descender which descends slightly below the writing line. The descender of long s tapers slightly to the left at the end. t is round-backed and its head-stroke is horizontal. The back-stroke joins the head-stroke at the left side. The ascender of ð is tall at 45º and tapers slightly backward to the right. The prominent cross-bar has an upward serif to the right at its left end, and downward serif to the left at its right end. The ascender of þ is wedged or has a split, and its descender is short and has a serif to the right. The descender of ƿ is straight and finishes with an upward serif to the right. y is dotted and the first stroke is thick, whereas the second stroke is a thin line with a wedge of a split at the top, and its descender finishes with a upward serif to the right. ascenders are often split or wedged at the top (see b, l, þ). descenders: straight descenders are as long as the height of the body, or sometimes shorter, and often finish with distinct serifs that turn up to the right at 45º. (See insular low r, low s, ƿ). Abbreviations: the cross-bar of þæt has an upward serif to the right at its left-hand end, and a downward serif to the left at its right-hand end. macron has an upward serif to the right at its left-hand end, and a downward serif to the left at its right-hand end. the descender of ˥ is straight and usually has a serif to the right at the end. Its head slightly curves inwards. Sometimes a larger ˥ is used at the beginning of sentences. Punctuation: The punctus is used.",,,,,,sole,,,,,,,,,,,minusculeVernacular,,,English vernacular minuscule; punctus,,,,,,,,,
_hand_1,manuscript_1,,,"Cambridge, University Library, MS Ff.3.9",manuscript,,MS-FF-00003-00009,"Caroline minuscule, by perhaps two hands.",,,,,,,,,,,,,,,,,minusculeCaroline,,,Caroline minuscule,,,,,,,,,
_hand_1,manuscript_1,,,MS Gg.5.35,manuscript,,MS-GG-00005-000035,"The manuscript is written throughout in Caroline minuscule, by five scribes, working in close collaboration. For a detailed breakdown of their respective stints, see Rigg and Wieland (1975), pp. 113-15.",5.0,,,,,,,,,,,,,,,,minusculeCaroline,,,Caroline minuscule,,,,,,,,,
_hand_1,manuscript_1,,,"Cambridge, University Library, MS Ii.6.17",manuscript,,MS-II-00006-00017,"Written in various cursive hands with features of Anglicana, Secretary, and lettre batarde.",,,,,,,,,,,,,,,,,Cursiva,,,Anglicana; Secretary; lettre batarde,,,,,,,,,
_hand_1,manuscript_1,,,,manuscript,,MS-II-00006-00002,Text and calendar written in textura quadrata.,,,,,,,,,,,,,,,,,textualisNorthern,,,textura quadrata,,,,,,,,,
_hand_1,manuscript_1,,,"Cambridge, University Library, MS Add. 7307",manuscript,,MS-ADD-07307,"Written in a large, clear secretary script by a single hand. The text is now faded, and without ornament.",,,,,,,,,,,,,,,,,cursiva,,,,,,,,,,,,
