measurement UID,file URL,msID,shelfmark,collection,part,part ID,part type,layout or extent,text,leaves,leaf height,leaf height max,leaf height min,leaf width,leaf width max,leaf width min,leaf depth,leaf depth max,leaf depth min,leaf unit,roll height,roll height max,roll height min,roll width,roll width max,roll width min,roll unit,fragment height,fragment height max,fragment height min,fragment width,fragment width max,fragment width min,fragment unit,columns,columns max,columns min,column height,column height max,column height min,column width,column width max,column width min,column unit,writtenLines,writtenLines max,writtenLines min,written height,written height max,written height min,written width,written width max,written width min,written unit,ruledLines,rulesLines max,ruledLines min,ruled height,ruled height max,ruled height min,ruled width,ruled width max,ruled width min,ruled unit,rulingMedium,topLine
MS_Add_A_188_measure_2,manuscript_34,MS_Add_A_188,MS. Add. A. 188,Add A,,MS_Add_A_188,,tei:layout,Ruled in plummet for 28 lines; ruled space 195 115,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,28,28,28,,,,,,,,,,,195,195,195,115,115,115,mm,,
MS_Add_A_188_measure_1,manuscript_34,MS_Add_A_188,MS. Add. A. 188,Add A,,MS_Add_A_188,,tei:extent,1 + i + 167 + 1 fol. 237 160,,237,237,237,160,160,160,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_189_measure_2,manuscript_35,MS_Add_A_189,MS. Add. A. 189,Add A,,MS_Add_A_189,,tei:layout,"1 col., 24 lines.",,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,24,24,24,,,,,,,,,,,,,,,,,,,
MS_Add_A_189_measure_1,manuscript_35,MS_Add_A_189,MS. Add. A. 189,Add A,,MS_Add_A_189,,tei:extent,166 + iii fols. 220 160 165 115,,220,220,220,160,160,160,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,165,165,115,115,115,mm,,,,,,,,,,,,
MS_Add_A_197_measure_1,manuscript_37,MS_Add_A_197,MS. Add. A. 197,Add A,,MS_Add_A_197,,tei:extent,i + 105 fols. 240 c. 163 c. 170–88 110–15,,240,240,240,163,163,163,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,c. 170–88,188,170,110–15,115,110,mm,,,,,,,,,,,,
MS_Add_A_2_measure_1,manuscript_39,MS_Add_A_2,MS. Add. A. 2,Add A,,MS_Add_A_2,,tei:extent,i + 56 leaves 7.25 5,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_23_measure_1,manuscript_44,MS_Add_A_23,MS. Add. A. 23,Add A,,MS_Add_A_23,,tei:extent,ii + 90 leaves 8.625 6.625,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_26_measure_2,manuscript_46,MS_Add_A_26,MS. Add. A. 26,Add A,,MS_Add_A_26,,tei:layout,"Frame-ruled in ink. 37 long lines, ruled space c. 158 97",,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,37,37,37,,,,,,,,,,,158,158,158,97,97,97,mm,,
MS_Add_A_26_measure_1,manuscript_46,MS_Add_A_26,MS. Add. A. 26,Add A,,MS_Add_A_26,,tei:extent,"i + 162 leaves, 215 155",,215,215,215,155,155,155,,,,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_263_measure_6,manuscript_47,MS_Add_A_263,MS. Add. A. 263,Add A,,MS_Add_A_263-endleaves-4,fragment,tei:extent,c. 103 103,,,,,,,,,,,,,,,,,,,c. 103,c. 103,c. 103,103,103,103,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
